course_name,course_num,title,department,credit_hours,course_description,prereq,theme,subtheme
EPSY,650,Multiple Regression and Other Linear Models in Education Research,Educational Psychology,3,"Overview of basic and advanced topics in regression analysis; equal emphasis on developing procedural knowledge, statistical theory, research designs, and practical issues and methods using statistics in empirical research; basis of linear regression models and logistic regression models.",EPSY 641 or STAT 652 or SOCI 631; graduate classification.,Research Skills,Quantitative
EPSY,652,Theory of Hierarchical Linear Models,Educational Psychology,3,Introduction to the theory and application of hierarchical linear models.,"EPSY 640, EPSY 641 or STAT 651, STAT 652, or any equivalent courses; some knowledge on ANOVA and Multiple Regression; graduate classification.",Research Skills,Quantitative
EPSY,651,Theory of Structural Equation Modeling,Educational Psychology,3,Introduction to the theory and application of structural equation modeling.,EPSY 640 and EPSY 641 or STAT 650 and STAT 651; graduate classification.,Research Skills,Quantitative
EPSY,625,Advanced Psychometric Theory,Educational Psychology,3,"Psychometric theory, planning, construction, analysis, and evaluation of written and performance tests; item analysis, norms, reliability, and validity (including factor analytic) studies; item response theory.",EPSY 640,Research Skills,Evaluation & Cost Analysis
EPSY,641,Statistical Analysis in Educational Research II,Educational Psychology,3,Preparation in more advanced data analysis techniques for experimental and non-experimental designs.,EPSY 640,Research Skills,Data Analytics & Computational Methods
EPSY,640,Statistical Analysis in Educational Research I,Educational Psychology,3,Preparation in data analysis techniques for experimental and non-experimental designs.,"EPSY 636, HMGT 614, SPMT 690, KINE 690/HLTH 690 or HLTH 690/KINE 690.",Research Skills,Data Analytics & Computational Methods
EPSY,655,Item Response Theory,Educational Psychology,3,"Advanced measurement topics in item response models; theoretical foundations and practical applications of IRT models; dichotomous and polytomous IRT models including Rasch model (IPL model), 2-PL model, 3PL model, rating scale model, partial credit model, and graded response model; analysis based on each model illustrated using BILOG-MG, PARSCALE, and M-plus.",EPSY 625.,Research Skills,Measurement & Survey Design
EPSY,606,Motivation and Emotion for Optimal Learning and Performance,Educational Psychology,3,"Role of motivation and emotion in human learning and performance; major theories and empirical research relevant to motivation and emotional impacts of learning, performance, or functioning in a variety of situations, contexts, and cultures; content applied across multiple disciplines including education, counseling or therapeutic outcomes, achievement performance in school, art, music and sports",EPSY 602 or approval of instructor; graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EPSY,642,Meta-Analysis of Behavioral Research,Educational Psychology,3,"Principles and use of quantitative techniques for research integration in education and other behavioral disciplines; computer-based and branching literature searches, coding protocols, theory of effect size estimation, analysis and reporting.",EPSY 435 or STAT 651; EPSY 636 or equivalent; EPSY 640 or equivalent.,Research Skills,Data Analytics & Computational Methods
EPSY,649,Introduction to Survey Design Methods in Educational Research,Educational Psychology,3,"Primary concepts of survey design methods in educational research; current knowledge about sources of error in surveys, sampling, instrumentation, field-testing, survey operations, nonresponse bias analysis and correction and primary and secondary analysis of survey data.",EPSY 435 or equivalent.,Research Skills,Measurement & Survey Design
GEOG,629,Cultural and Political Ecology,Geography,3,History of ideas about humans and environment; political and social meanings of nature and culture; access and control of resources; theories of environmental change; geographic approaches to political ecology research; current debates and future directions.,Graduate classification,Systems Knowledge,History of Education
GEOG,616,Urban Geography,Geography,3,Spatial patterns and processes of urban systems; growth and sprawl; environmental impacts; residential choice models; political fragmentation; economic development; power and privilege; place-based identity,GEOG 306 or equivalent.,Research Skills,Quantitative
GEOG,652,Quantitative Methods in Geography,Geography,3,"Designed to acquaint with quantitative methods commonly used in geographical research to describe, characterize, model and analyze geo-spatial data.",Approval of instructor,Research Skills,Quantitative
HIST,625,"Research Seminar in Race, Ethnicity, and Migration",History,3,"Topics and issues in the study of race, ethnicity, and migration history. May be taken three times for credit as content varies.",Graduate classification,Systems Knowledge,History of Education
INTA,708,Data Science and Visualization for Policy Analysis,International Affairs,3,Exploration of the data science skills necessary to make sense of our increasingly data rich policy environment; development of data science skills and workflows necessary to identify and develop compelling visualizations of trends in domestic and transnational policy issues.,Graduate classification,Policy Analysis,Policy Design & Strategy
ISTM,682,Data Analytics Platforms,Management Information Systems,3,"Coding platforms used for data analytics; data wrangling, exploration and visualization; model testing and validation; machine learning techniques.",STAT 601 or equivalent,Research Skills,Data Analytics & Computational Methods
LAW,637,Education Law,Law,.,"Dynamics of the legal rights, responsibilities and relationships between parents, students, teachers and administrators; understanding the balance between these rights and the smooth, efficient operation of schools; separation of church and state; the instructional program and the balance between the substantive rights of parents and the compelling interest of the state in educating children; student on-campus First Amendment expression rights; student privacy rights; application of the Fourth Amendment; rights of students with disabilities; common law student rights; teacher certification requirements; contractual issues arising from employment relationships.",Graduate classification,Policy Analysis,Teacher Workforce Policy
PBSI,651,Cultural Psychology,Psychological & Brain Sciences,3,"Surveys key readings in the field of cultural psychology; discussion and examination of relationship between psychological processes (e.g., motivation, memory, self perception, prejudice) and sociocultural contexts. Cross Listing: AFST 651",Enrollment in a graduate program or approval of instructor.,Research Skills,Measurement & Survey Design
PBSI,674,Covariance Structure Models and Causal Analysis,Psychological & Brain Sciences,3,Advanced introduction to structural equation models and causal analysis; emphasis on underlying theory and assumptions as well as practical application for the behavioral sciences.,PBSI 671/NRSC 671 or STAT 608 or approval of the instructor,Research Skills,Quantitative
PBSI,654,Psychometrics and Survey Design in Industrial/Organizational Psychology,Psychological & Brain Sciences,3,"Study of psychological measurement for testing and assessment purposes in I/O psychology; classical and modern test theories are introduced as well as their implications for test construction and survey design; emphasis on skill acquisition through developing, administering and scoring predictor or criterion tests and presenting results.",PBSI 652; PBSI 653; graduate classification or approval of instructor,Research Skills,Measurement & Survey Design
PBSI,673,Psychometric Theory and Methods,Psychological & Brain Sciences,3,"Overview of methods for the construction and evaluation of psychological measurements including unidimensional scales and multivariate analytical techniques; approaches include classical test theory, factor analysis, unidimensional scaling, latent trait theory, profile and discriminant analysis",PBSI 607 and PBSI 671/NRSC 671 or equivalents,Research Skills,Evaluation & Cost Analysis
